Linux 6.14.0-37-generic (sameer-HP-Pavilion-Laptop-15-eg2xxx) 	02/03/2026 	_x86_64_	(16 CPU)

06:49:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:52:36 PM  all    2.02    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.94
06:52:37 PM  all   19.19    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   76.77
06:52:38 PM  all   42.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   54.00
06:52:39 PM  all   37.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
06:52:40 PM  all   35.35    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   61.62
06:52:41 PM  all   47.00    0.00    4.00    2.00    0.00    2.00    0.00    0.00    0.00   45.00
06:52:42 PM  all   47.47    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   47.47
06:52:43 PM  all   39.60    0.00    2.97    0.00    0.00    1.98    0.00    0.00    0.00   55.45
06:52:44 PM  all   44.44    0.00    4.04    3.03    0.00    1.01    0.00    0.00    0.00   47.47
06:52:45 PM  all   51.49    0.00    2.97    0.00    0.00    1.98    0.00    0.00    0.00   43.56
06:52:46 PM  all   47.52    0.00    2.97    0.00    0.00    1.98    0.00    0.00    0.00   47.52
06:52:47 PM  all   51.52    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   44.44
06:52:48 PM  all   30.30    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   64.65
06:52:49 PM  all   23.47    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   73.47
06:52:50 PM  all   46.46    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   49.49
06:52:51 PM  all   21.00    0.00    3.00    1.00    0.00    1.00    0.00    0.00    0.00   74.00
06:52:52 PM  all   41.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   56.00
06:52:53 PM  all   44.00    0.00    4.00    0.00    0.00    2.00    0.00    0.00    0.00   50.00
06:52:54 PM  all   39.18    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   57.73
06:52:55 PM  all   41.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   53.00
06:52:56 PM  all   42.42    0.00    2.02    2.02    0.00    1.01    0.00    0.00    0.00   52.53
06:52:57 PM  all   44.44    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   51.52
