event,time,req_id,user_id,val1,val2
ARRIVAL,3816.237,378,2519,13.760,21742.991
ARRIVAL,3816.898,379,1696,54.807,21686.398
ARRIVAL,3817.370,380,359,150.462,22788.681
ARRIVAL,3817.810,381,2655,37.087,20801.975
ARRIVAL,3819.287,382,2193,23.580,29853.984
COMPLETE,3822.264,193,1120,343.507
ARRIVAL,3826.893,383,1083,15.801,29559.874
ARRIVAL,3828.650,384,119,27.426,20313.415
ARRIVAL,3829.838,385,521,161.735,20771.254
ARRIVAL,3831.137,386,1641,253.371,27769.685
ARRIVAL,3832.194,387,2803,105.785,24746.879
ARRIVAL,3834.729,388,2432,127.712,20315.706
ARRIVAL,3836.733,389,608,26.698,27803.667
COMPLETE,3840.080,196,1915,358.852
ARRIVAL,3841.483,390,1459,46.510,28795.036
ARRIVAL,3845.603,391,2163,29.751,29100.561
ARRIVAL,3848.491,392,884,9.076,29234.632
ARRIVAL,3851.031,393,1755,10.762,20164.718
ARRIVAL,3854.113,394,1384,26.880,25475.191
ARRIVAL,3855.534,395,2895,158.929,27457.912
ARRIVAL,3858.795,396,1584,81.446,27639.562
ARRIVAL,3859.899,397,1981,31.416,23667.520
ARRIVAL,3860.371,398,379,79.051,21482.061
ARRIVAL,3861.167,399,641,176.814,20894.342
ARRIVAL,3863.572,400,252,103.769,24589.784
COMPLETE,3865.902,198,2731,374.992
ARRIVAL,3866.058,401,1230,15.292,28993.161
ARRIVAL,3868.217,402,2650,27.459,28875.674
ARRIVAL,3870.177,403,1022,44.681,29157.289
ARRIVAL,3870.715,404,2219,56.445,27368.077
ARRIVAL,3870.846,405,67,134.773,20255.831
COMPLETE,3873.987,191,226,399.360
ARRIVAL,3874.931,406,2055,52.570,24911.764
ARRIVAL,3875.082,407,2921,43.171,29538.415
ARRIVAL,3875.622,408,512,3.331,29468.163
ARRIVAL,3879.002,409,2880,62.655,26894.840
ARRIVAL,3880.948,410,6,36.038,23266.863
ARRIVAL,3881.970,411,867,101.587,27342.435
ARRIVAL,3883.426,412,2788,5.886,21408.326
ARRIVAL,3883.529,413,1223,44.158,25542.354
ARRIVAL,3883.770,414,1844,29.505,24099.115
ARRIVAL,3886.119,415,184,27.607,26285.012
ARRIVAL,3887.365,416,387,121.876,29539.487
COMPLETE,3887.659,209,2505,377.659
ARRIVAL,3890.436,417,686,6.049,29413.274
ARRIVAL,3892.746,418,111,14.966,23707.055
ARRIVAL,3893.262,419,438,6.998,28681.104
ARRIVAL,3894.700,420,2162,17.562,25216.366
ARRIVAL,3895.681,421,1698,28.427,26287.453
ARRIVAL,3896.269,422,386,29.416,29837.532
ARRIVAL,3898.280,423,1917,37.079,23185.184
ARRIVAL,3906.523,424,1647,44.112,22825.523
ARRIVAL,3907.934,425,2351,135.280,22983.669
ARRIVAL,3908.592,426,2194,38.911,20525.489
COMPLETE,3908.983,217,2597,385.557
ARRIVAL,3910.880,427,2412,43.381,22665.954
ARRIVAL,3913.289,428,2287,137.853,21241.424
ARRIVAL,3916.758,429,2000,62.766,23679.977
COMPLETE,3917.501,9,258,846.142
ARRIVAL,3919.409,430,2349,41.945,27228.117
ARRIVAL,3922.917,431,1928,64.168,21161.722
ARRIVAL,3925.663,432,1187,34.501,21296.183
ARRIVAL,3925.926,433,2072,116.310,22100.415
ARRIVAL,3927.172,434,428,1.966,23340.867
ARRIVAL,3928.108,435,1960,81.345,29667.730
ARRIVAL,3928.426,436,2484,96.657,20537.781
ARRIVAL,3929.132,437,2949,38.917,28959.635
ARRIVAL,3931.266,438,1156,85.732,24197.465
COMPLETE,3932.983,214,309,411.949
ARRIVAL,3937.385,439,1986,49.583,20837.238
ARRIVAL,3940.370,440,1438,37.880,29600.591
ARRIVAL,3940.755,441,1664,13.998,28238.410
COMPLETE,3940.982,225,918,400.215
ARRIVAL,3941.002,442,1987,14.645,29784.594
ARRIVAL,3943.634,443,1992,15.177,24280.395
ARRIVAL,3946.456,444,1239,5.971,22366.293
ARRIVAL,3950.464,445,356,49.371,26432.800
ARRIVAL,3952.745,446,1393,167.609,21756.076
ARRIVAL,3953.288,447,497,81.445,25574.639
ARRIVAL,3954.981,448,311,147.914,26378.011
ARRIVAL,3955.898,449,22,81.444,20897.024
ARRIVAL,3959.165,450,2341,9.814,29376.685
ARRIVAL,3959.694,451,2538,4.239,21630.956
ARRIVAL,3959.896,452,1888,15.952,27538.693
ARRIVAL,3963.987,453,1279,57.815,21062.692
ARRIVAL,3965.360,454,136,109.635,22960.541
ARRIVAL,3967.475,455,2487,18.017,23246.489
ARRIVAL,3974.704,456,2772,33.057,21480.572
ARRIVAL,3975.694,457,1000,111.768,23938.247
COMPLETE,3976.241,226,1845,434.207
COMPLETE,3977.884,233,385,413.732
ARRIVAL,3979.858,458,2728,190.642,27502.073
ARRIVAL,3982.115,459,813,31.378,28559.052
ARRIVAL,3982.478,460,1051,8.597,21524.295
ARRIVAL,3983.348,461,740,11.265,29305.021
ARRIVAL,3983.478,462,1475,26.469,27615.005
ARRIVAL,3985.533,463,2875,64.137,23427.433
ARRIVAL,3987.691,464,880,216.611,24686.792
ARRIVAL,3987.925,465,1691,64.203,20295.516
ARRIVAL,3988.746,466,2117,23.792,21529.562
ARRIVAL,3988.961,467,2615,13.471,27342.444
