Users,ResponseTime_mean,ResponseTime_ci_lo,ResponseTime_ci_hi,ResponseTime_n,Throughput_mean,Throughput_ci_lo,Throughput_ci_hi,Throughput_n,Goodput_mean,Goodput_ci_lo,Goodput_ci_hi,Goodput_n,Badput_mean,Badput_ci_lo,Badput_ci_hi,Badput_n,Timeouts_mean,Timeouts_ci_lo,Timeouts_ci_hi,Timeouts_n,Util_mean,Util_ci_lo,Util_ci_hi,Util_n
1000,12.0315,11.9736,12.0894,15,65.5671,65.3261,65.808,15,64.7342,64.449,65.0193,15,0.832917,0.782454,0.883379,15,133.267,125.193,141.341,15,0.981953,0.981942,0.981964,15
1010,12.2117,12.1341,12.2892,15,65.4967,65.1783,65.815,15,64.6163,64.2667,64.9658,15,0.880417,0.840772,0.920062,15,140.867,134.523,147.21,15,0.981955,0.981948,0.981962,15
1020,12.4079,12.3304,12.4854,15,65.3108,65.0128,65.6089,15,64.3575,64.0247,64.6903,15,0.953333,0.910904,0.995763,15,152.533,145.745,159.322,15,0.981945,0.981937,0.981954,15
1030,12.4345,12.3781,12.4909,15,65.9025,65.7143,66.0907,15,64.9683,64.7556,65.181,15,0.934167,0.901958,0.966375,15,149.467,144.313,154.62,15,0.981957,0.981949,0.981965,15
1040,12.6206,12.5455,12.6958,15,65.6579,65.3406,65.9752,15,64.6796,64.335,65.0242,15,0.978333,0.940141,1.01653,15,156.533,150.423,162.644,15,0.981958,0.981945,0.981971,15
1050,12.7772,12.695,12.8593,15,65.6275,65.3167,65.9383,15,64.5817,64.233,64.9303,15,1.04583,1.00265,1.08901,15,167.333,160.424,174.242,15,0.981961,0.981948,0.981973,15
1060,12.9811,12.9138,13.0485,15,65.4246,65.1581,65.6911,15,64.3012,64.0089,64.5936,15,1.12333,1.08747,1.1592,15,179.733,173.995,185.472,15,0.981954,0.981944,0.981964,15
1070,13.1247,13.0623,13.1871,15,65.4213,65.1727,65.6698,15,64.2604,63.9768,64.544,15,1.16083,1.11235,1.20931,15,185.733,177.977,193.49,15,0.981953,0.981946,0.981961,15
1080,13.167,13.0914,13.2427,15,65.9121,65.6187,66.2055,15,64.755,64.4223,65.0877,15,1.15708,1.09662,1.21755,15,185.133,175.459,194.808,15,0.981957,0.981946,0.981968,15
1090,13.419,13.3536,13.4844,15,65.4904,65.2641,65.7167,15,64.2187,63.9598,64.4777,15,1.27167,1.23256,1.31077,15,203.467,197.21,209.723,15,0.981956,0.981947,0.981965,15
